sep=^
Task ID^Storage Interval^Operator ID^Message Length (secs)^Start Time^Stop Time^Threshold Method^Duration^Station Name^All Single Channels^Location (lat)^Location (lon)^Antenna^Polarization
28238^1 hours^DESKTOP-5NOI69V^15^29-08-2023 09:43:42 AM^29-08-2023 02:43:55 PM^Noise Riding 30 dB^Fixed: 5 hours^Chaiyaphum^No^15.788741^102.028173^Vertical Ref^Vertical

Band #^Start Frequency (MHz)^Stop Frequency (MHz)^Bandwidth (kHz)
1^756.000000^2690.000000^600.00000

Channel No.^Frequency (MHz)^Time of Day^Occupancy (%)^Field Strength (dBuV/m)
25^770.400000^02:43:42 PM^0^---
26^771.000000^10:43:42 AM^0^---
26^771.000000^11:43:42 AM^0^---
26^771.000000^12:43:42 PM^0^---
26^771.000000^01:43:42 PM^0^---
26^771.000000^02:43:42 PM^0^---
27^771.600000^10:43:42 AM^0^---
27^771.600000^11:43:42 AM^0^---
27^771.600000^12:43:42 PM^0^---
27^771.600000^01:43:42 PM^0^---
27^771.600000^02:43:42 PM^0^---
28^772.200000^10:43:42 AM^0^---
28^772.200000^11:43:42 AM^0^---
28^772.200000^12:43:42 PM^0^---
28^772.200000^01:43:42 PM^0^---
28^772.200000^02:43:42 PM^0^---
29^772.800000^10:43:42 AM^0^---
29^772.800000^11:43:42 AM^0^---
29^772.800000^12:43:42 PM^0^---
29^772.800000^01:43:42 PM^0^---
29^772.800000^02:43:42 PM^0^---
30^773.400000^10:43:42 AM^0^---
30^773.400000^11:43:42 AM^0^---
30^773.400000^12:43:42 PM^0^---
30^773.400000^01:43:42 PM^0^---
30^773.400000^02:43:42 PM^0^---
31^774.000000^10:43:42 AM^0^---
31^774.000000^11:43:42 AM^0^---
31^774.000000^12:43:42 PM^0^---
31^774.000000^01:43:42 PM^0^---
31^774.000000^02:43:42 PM^0^---
32^774.600000^10:43:42 AM^0^---
32^774.600000^11:43:42 AM^0^---
32^774.600000^12:43:42 PM^0^---
32^774.600000^01:43:42 PM^0^---
32^774.600000^02:43:42 PM^0^---
33^775.200000^10:43:42 AM^0^---
33^775.200000^11:43:42 AM^0^---
33^775.200000^12:43:42 PM^0^---
33^775.200000^01:43:42 PM^0^---
33^775.200000^02:43:42 PM^0^---
34^775.800000^10:43:42 AM^0^---
34^775.800000^11:43:42 AM^0^---
34^775.800000^12:43:42 PM^0^---
34^775.800000^01:43:42 PM^0^---
34^775.800000^02:43:42 PM^0^---
35^776.400000^10:43:42 AM^0^---
35^776.400000^11:43:42 AM^0^---
35^776.400000^12:43:42 PM^0^---
35^776.400000^01:43:42 PM^0^---
35^776.400000^02:43:42 PM^0^---
36^777.000000^10:43:42 AM^0^---
36^777.000000^11:43:42 AM^0^---
36^777.000000^12:43:42 PM^0^---
36^777.000000^01:43:42 PM^0^---
36^777.000000^02:43:42 PM^0^---
37^777.600000^10:43:42 AM^0^---
37^777.600000^11:43:42 AM^0^---
37^777.600000^12:43:42 PM^0^---
37^777.600000^01:43:42 PM^0^---
37^777.600000^02:43:42 PM^0^---
38^778.200000^10:43:42 AM^0^---
38^778.200000^11:43:42 AM^0^---
38^778.200000^12:43:42 PM^0^---
38^778.200000^01:43:42 PM^0^---
38^778.200000^02:43:42 PM^0^---
39^778.800000^10:43:42 AM^0^---
39^778.800000^11:43:42 AM^0^---
39^778.800000^12:43:42 PM^0^---
39^778.800000^01:43:42 PM^0^---
39^778.800000^02:43:42 PM^0^---
40^779.400000^10:43:42 AM^0^---
40^779.400000^11:43:42 AM^0^---
40^779.400000^12:43:42 PM^0^---
40^779.400000^01:43:42 PM^0^---
40^779.400000^02:43:42 PM^0^---
41^780.000000^10:43:42 AM^0^---
